🏆 FAMILLE EN OR — Finale (Phase 2),,,,
Exactement 5 questions. Les réponses servent de référence pour la correction — entre 3 et 5 réponses par question avec leurs points.,,,,
N°,Type,Question / Réponse,Points,Notes (optionnel)
F1,,Pourquoi un homme rejoindrait-il sa femme en vacances ?,,
1,Réponse,Jalousie/Soupçons,43,
2,Réponse,Elle lui manque,27,
3,Réponse,Elle a eu un accident,18,
4,Réponse,Elle est malade,6,
5,Réponse,Pour sa cuisine,3,
6,Réponse,Enfant malade,2,
,,,,
F2,,Comment appelle t'on un homme qui collectionne les conquêtes féminines ?,,
1,Réponse,Don Juan,42,
2,Réponse,Macho,16,
3,Réponse,Coureur,10,
4,Réponse,Dragueur,10,
5,Réponse,Casanova,5,
6,Réponse,Play-boy,4,
7,Réponse,Séducteur,4,
,,,,
F3,,Quand détestez-vous arriver en permier ?,,
1,Réponse,Fête/Réception,54,
2,Réponse,Au travail,10,
3,Réponse,Enterrement,7,
4,Réponse,Repas d'affaires,5,
5,Réponse,A table (maison),4,
,,,,
F4,,Que seriez-vous surpris de trouver dans une église ?,,
1,Réponse,Animaux,24,
2,Réponse,Diable,7,
3,Réponse,Musulman,7,
4,Réponse,Tenues indécentes,7,
5,Réponse,Préservatifs,5,
,,,,
F5,,Quelle raison un homme donne t'il pour justifier qu'il quitte sa femme ?,,
1,Réponse,Il en a trouvé une autre,30,
2,Réponse,Il ne l'aime plus,24,
3,Réponse,Elle est inffidèle,19,
4,Réponse,Elle n'est pas belle,5,
5,Réponse,Maison mal rangée,4,
